method,userId,rank,movieId,title
ALS,6,7,553,Tombstone (1993)
ALS,6,8,6732,"Hello, Dolly! (1969)"
ALS,6,9,72641,"Blind Side, The  (2009)"
ALS,6,10,65188,Dear Zachary: A Letter to a Son About His Father (2008)
ALS,7,1,1223,"Grand Day Out with Wallace and Gromit, A (1989)"
ALS,7,2,6857,Ninja Scroll (Jûbei ninpûchô) (1995)
ALS,7,3,1283,High Noon (1952)
ALS,7,4,27156,"Neon Genesis Evangelion: The End of Evangelion (Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni) (1997)"
ALS,7,5,7022,Battle Royale (Batoru rowaiaru) (2000)
ALS,7,6,3030,Yojimbo (1961)
ALS,7,7,720,Wallace & Gromit: The Best of Aardman Animation (1996)
ALS,7,8,85774,Senna (2010)
ALS,7,9,1203,12 Angry Men (1957)
ALS,7,10,5618,Spirited Away (Sen to Chihiro no kamikakushi) (2001)
ALS,8,1,170355,Mulholland Dr. (1999)
ALS,8,2,68945,Neon Genesis Evangelion: Death & Rebirth (Shin seiki Evangelion Gekijô-ban: Shito shinsei) (1997)
ALS,8,3,3379,On the Beach (1959)
ALS,8,4,177593,"Three Billboards Outside Ebbing, Missouri (2017)"
ALS,8,5,2959,Fight Club (1999)
ALS,8,6,3030,Yojimbo (1961)
ALS,8,7,1223,"Grand Day Out with Wallace and Gromit, A (1989)"
ALS,8,8,27156,"Neon Genesis Evangelion: The End of Evangelion (Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni) (1997)"
ALS,8,9,246,Hoop Dreams (1994)
ALS,8,10,527,Schindler's List (1993)
ALS,9,1,1136,Monty Python and the Holy Grail (1975)
ALS,9,2,89904,The Artist (2011)
ALS,9,3,1196,Star Wars: Episode V - The Empire Strikes Back (1980)
ALS,9,4,27156,"Neon Genesis Evangelion: The End of Evangelion (Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni) (1997)"
ALS,9,5,3468,"Hustler, The (1961)"
ALS,9,6,5747,Gallipoli (1981)
ALS,9,7,4993,"Lord of the Rings: The Fellowship of the Ring, The (2001)"
ALS,9,8,1198,Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)
ALS,9,9,65642,"Timecrimes (Cronocrímenes, Los) (2007)"
ALS,9,10,1732,"Big Lebowski, The (1998)"
ALS,10,1,71579,"Education, An (2009)"
ALS,10,2,8869,First Daughter (2004)
ALS,10,3,140110,The Intern (2015)
ALS,10,4,113275,The Hundred-Foot Journey (2014)
ALS,10,5,136020,Spectre (2015)
ALS,10,6,51705,Priceless (Hors de prix) (2006)
ALS,10,7,92259,Intouchables (2011)
ALS,10,8,94070,"Best Exotic Marigold Hotel, The (2011)"
ALS,10,9,49286,"Holiday, The (2006)"
ALS,10,10,8533,"Notebook, The (2004)"
ALS,11,1,318,"Shawshank Redemption, The (1994)"
ALS,11,2,110,Braveheart (1995)
ALS,11,3,457,"Fugitive, The (1993)"
ALS,11,4,356,Forrest Gump (1994)
ALS,11,5,3022,"General, The (1926)"
ALS,11,6,170355,Mulholland Dr. (1999)
ALS,11,7,68945,Neon Genesis Evangelion: Death & Rebirth (Shin seiki Evangelion Gekijô-ban: Shito shinsei) (1997)
ALS,11,8,3379,On the Beach (1959)
ALS,11,9,1957,Chariots of Fire (1981)
ALS,11,10,2028,Saving Private Ryan (1998)
ALS,12,1,3925,Stranger Than Paradise (1984)
ALS,12,2,117531,Watermark (2014)
ALS,12,3,86237,Connections (1978)
ALS,12,4,84273,Zeitgeist: Moving Forward (2011)
ALS,12,5,74226,"Dream of Light (a.k.a. Quince Tree Sun, The) (Sol del membrillo, El) (1992)"
ALS,12,6,7071,"Woman Under the Influence, A (1974)"
ALS,12,7,4708,Marat/Sade (1966)
ALS,12,8,932,"Affair to Remember, An (1957)"
ALS,12,9,3819,Tampopo (1985)
ALS,12,10,80139,Jackass 2.5 (2007)
ALS,13,1,2571,"Matrix, The (1999)"
ALS,13,2,858,"Godfather, The (1972)"
ALS,13,3,177593,"Three Billboards Outside Ebbing, Missouri (2017)"
ALS,13,4,3578,Gladiator (2000)
ALS,13,5,3030,Yojimbo (1961)
ALS,13,6,170355,Mulholland Dr. (1999)
ALS,13,7,68945,Neon Genesis Evangelion: Death & Rebirth (Shin seiki Evangelion Gekijô-ban: Shito shinsei) (1997)
ALS,13,8,3379,On the Beach (1959)
ALS,13,9,296,Pulp Fiction (1994)
ALS,13,10,3703,"Road Warrior, The (Mad Max 2) (1981)"
ALS,14,1,80906,Inside Job (2010)
ALS,14,2,5690,Grave of the Fireflies (Hotaru no haka) (1988)
ALS,14,3,4002,"Planes, Trains & Automobiles (1987)"
ALS,14,4,6818,Come and See (Idi i smotri) (1985)
ALS,14,5,1704,Good Will Hunting (1997)
ALS,14,6,26810,Bad Boy Bubby (1993)
ALS,14,7,117531,Watermark (2014)
ALS,14,8,86237,Connections (1978)
ALS,14,9,84273,Zeitgeist: Moving Forward (2011)
ALS,14,10,74226,"Dream of Light (a.k.a. Quince Tree Sun, The) (Sol del membrillo, El) (1992)"
ALS,15,1,177593,"Three Billboards Outside Ebbing, Missouri (2017)"
ALS,15,2,527,Schindler's List (1993)
ALS,15,3,27611,Battlestar Galactica (2003)
ALS,15,4,3925,Stranger Than Paradise (1984)
ALS,15,5,720,Wallace & Gromit: The Best of Aardman Animation (1996)
ALS,15,6,166528,Rogue One: A Star Wars Story (2016)
ALS,15,7,1035,"Sound of Music, The (1965)"
ALS,15,8,1210,Star Wars: Episode VI - Return of the Jedi (1983)
ALS,15,9,152077,10 Cloverfield Lane (2016)
ALS,15,10,318,"Shawshank Redemption, The (1994)"
ALS,16,1,6818,Come and See (Idi i smotri) (1985)
ALS,16,2,8477,"Jetée, La (1962)"
ALS,16,3,3468,"Hustler, The (1961)"
ALS,16,4,92475,All Watched Over by Machines of Loving Grace (2011)
ALS,16,5,3266,Man Bites Dog (C'est arrivé près de chez vous) (1992)
ALS,16,6,27156,"Neon Genesis Evangelion: The End of Evangelion (Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni) (1997)"
ALS,16,7,898,"Philadelphia Story, The (1940)"
ALS,16,8,7748,Pierrot le fou (1965)
ALS,16,9,31364,Memories of Murder (Salinui chueok) (2003)
ALS,16,10,170355,Mulholland Dr. (1999)
ALS,17,1,170355,Mulholland Dr. (1999)
ALS,17,2,68945,Neon Genesis Evangelion: Death & Rebirth (Shin seiki Evangelion Gekijô-ban: Shito shinsei) (1997)
ALS,17,3,3379,On the Beach (1959)
ALS,17,4,177593,"Three Billboards Outside Ebbing, Missouri (2017)"
ALS,17,5,27156,"Neon Genesis Evangelion: The End of Evangelion (Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni) (1997)"
ALS,17,6,318,"Shawshank Redemption, The (1994)"
ALS,17,7,260,Star Wars: Episode IV - A New Hope (1977)
ALS,17,8,3836,Kelly's Heroes (1970)
ALS,17,9,1196,Star Wars: Episode V - The Empire Strikes Back (1980)
ALS,17,10,27523,My Sassy Girl (Yeopgijeogin geunyeo) (2001)
ALS,18,1,170355,Mulholland Dr. (1999)
ALS,18,2,68945,Neon Genesis Evangelion: Death & Rebirth (Shin seiki Evangelion Gekijô-ban: Shito shinsei) (1997)
ALS,18,3,3379,On the Beach (1959)
ALS,18,4,177593,"Three Billboards Outside Ebbing, Missouri (2017)"
ALS,18,5,3030,Yojimbo (1961)
ALS,18,6,27156,"Neon Genesis Evangelion: The End of Evangelion (Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni) (1997)"
ALS,18,7,318,"Shawshank Redemption, The (1994)"
ALS,18,8,92475,All Watched Over by Machines of Loving Grace (2011)
ALS,18,9,7748,Pierrot le fou (1965)
ALS,18,10,2360,"Celebration, The (Festen) (1998)"
ALS,19,1,3358,Defending Your Life (1991)
ALS,19,2,3477,Empire Records (1995)
ALS,19,3,2037,Candleshoe (1977)
ALS,19,4,1197,"Princess Bride, The (1987)"
ALS,19,5,167746,The Lego Batman Movie (2017)
ALS,19,6,1136,Monty Python and the Holy Grail (1975)
ALS,19,7,170355,Mulholland Dr. (1999)
ALS,19,8,68945,Neon Genesis Evangelion: Death & Rebirth (Shin seiki Evangelion Gekijô-ban: Shito shinsei) (1997)
ALS,19,9,3379,On the Beach (1959)
ALS,19,10,27156,"Neon Genesis Evangelion: The End of Evangelion (Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni) (1997)"
ALS,20,1,720,Wallace & Gromit: The Best of Aardman Animation (1996)
ALS,20,2,899,Singin' in the Rain (1952)
ALS,20,3,177593,"Three Billboards Outside Ebbing, Missouri (2017)"
ALS,20,4,3022,"General, The (1926)"
ALS,20,5,3451,Guess Who's Coming to Dinner (1967)
ALS,20,6,3083,All About My Mother (Todo sobre mi madre) (1999)
ALS,20,7,6345,"Chorus Line, A (1985)"
ALS,20,8,1172,Cinema Paradiso (Nuovo cinema Paradiso) (1989)
ALS,20,9,3088,Harvey (1950)
ALS,20,10,527,Schindler's List (1993)
ALS,21,1,7573,Never Say Never Again (1983)
ALS,21,2,3086,Babes in Toyland (1934)
ALS,21,3,78637,Shrek Forever After (a.k.a. Shrek: The Final Chapter) (2010)
ALS,21,4,3984,Diamonds Are Forever (1971)
ALS,21,5,7570,Octopussy (1983)
ALS,21,6,3916,Remember the Titans (2000)
ALS,21,7,3682,Magnum Force (1973)
ALS,21,8,111781,Mission: Impossible - Rogue Nation (2015)
ALS,21,9,2991,Live and Let Die (1973)
ALS,21,10,2989,For Your Eyes Only (1981)
ALS,22,1,1952,Midnight Cowboy (1969)
ALS,22,2,4036,Shadow of the Vampire (2000)
ALS,22,3,1611,My Own Private Idaho (1991)
ALS,22,4,106782,"Wolf of Wall Street, The (2013)"
ALS,22,5,48322,Jackass Number Two (2006)
ALS,22,6,68536,Stanley Kubrick: A Life in Pictures (2001)
ALS,22,7,107,Muppet Treasure Island (1996)
ALS,22,8,119145,Kingsman: The Secret Service (2015)
ALS,22,9,1732,"Big Lebowski, The (1998)"
ALS,22,10,1953,"French Connection, The (1971)"
ALS,23,1,7587,"Samouraï, Le (Godson, The) (1967)"
ALS,23,2,1232,Stalker (1979)
ALS,23,3,1212,"Third Man, The (1949)"
ALS,23,4,3265,Hard-Boiled (Lat sau san taam) (1992)
ALS,23,5,3468,"Hustler, The (1961)"
ALS,23,6,1284,"Big Sleep, The (1946)"
ALS,23,7,96004,Dragon Ball Z: The History of Trunks (Doragon bôru Z: Zetsubô e no hankô!! Nokosareta chô senshi - Gohan to Torankusu) (1993)
ALS,23,8,7748,Pierrot le fou (1965)
ALS,23,9,170355,Mulholland Dr. (1999)
ALS,23,10,68945,Neon Genesis Evangelion: Death & Rebirth (Shin seiki Evangelion Gekijô-ban: Shito shinsei) (1997)
ALS,24,1,170355,Mulholland Dr. (1999)
ALS,24,2,68945,Neon Genesis Evangelion: Death & Rebirth (Shin seiki Evangelion Gekijô-ban: Shito shinsei) (1997)
ALS,24,3,3379,On the Beach (1959)
ALS,24,4,27156,"Neon Genesis Evangelion: The End of Evangelion (Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni) (1997)"
ALS,24,5,3030,Yojimbo (1961)
ALS,24,6,3836,Kelly's Heroes (1970)
ALS,24,7,951,His Girl Friday (1940)
ALS,24,8,6818,Come and See (Idi i smotri) (1985)
ALS,24,9,8477,"Jetée, La (1962)"
ALS,24,10,1223,"Grand Day Out with Wallace and Gromit, A (1989)"
ALS,25,1,170355,Mulholland Dr. (1999)
ALS,25,2,68945,Neon Genesis Evangelion: Death & Rebirth (Shin seiki Evangelion Gekijô-ban: Shito shinsei) (1997)
ALS,25,3,3379,On the Beach (1959)
ALS,25,4,318,"Shawshank Redemption, The (1994)"
ALS,25,5,177593,"Three Billboards Outside Ebbing, Missouri (2017)"
ALS,25,6,117531,Watermark (2014)
ALS,25,7,86237,Connections (1978)
ALS,25,8,84273,Zeitgeist: Moving Forward (2011)
ALS,25,9,74226,"Dream of Light (a.k.a. Quince Tree Sun, The) (Sol del membrillo, El) (1992)"
ALS,25,10,7071,"Woman Under the Influence, A (1974)"
ALS,26,1,177593,"Three Billboards Outside Ebbing, Missouri (2017)"
ALS,26,2,170355,Mulholland Dr. (1999)
ALS,26,3,68945,Neon Genesis Evangelion: Death & Rebirth (Shin seiki Evangelion Gekijô-ban: Shito shinsei) (1997)
ALS,26,4,3379,On the Beach (1959)
ALS,26,5,27156,"Neon Genesis Evangelion: The End of Evangelion (Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni) (1997)"
ALS,26,6,306,Three Colors: Red (Trois couleurs: Rouge) (1994)
ALS,26,7,31364,Memories of Murder (Salinui chueok) (2003)
ALS,26,8,1201,"Good, the Bad and the Ugly, The (Buono, il brutto, il cattivo, Il) (1966)"
ALS,26,9,3836,Kelly's Heroes (1970)
ALS,26,10,7748,Pierrot le fou (1965)
ALS,27,1,3451,Guess Who's Coming to Dinner (1967)
ALS,27,2,2565,"King and I, The (1956)"
ALS,27,3,1262,"Great Escape, The (1963)"
ALS,27,4,8827,"Bill Cosby, Himself (1983)"
ALS,27,5,177593,"Three Billboards Outside Ebbing, Missouri (2017)"
ALS,27,6,3567,Bossa Nova (2000)
ALS,27,7,911,Charade (1963)
ALS,27,8,1207,To Kill a Mockingbird (1962)
ALS,27,9,720,Wallace & Gromit: The Best of Aardman Animation (1996)
ALS,27,10,8533,"Notebook, The (2004)"
ALS,28,1,7842,Dune (2000)
ALS,28,2,60943,Frozen River (2008)
ALS,28,3,59018,"Visitor, The (2007)"
ALS,28,4,53123,Once (2006)
ALS,28,5,7841,Children of Dune (2003)
ALS,28,6,41863,"Three Burials of Melquiades Estrada, The (2006)"
ALS,28,7,27611,Battlestar Galactica (2003)
ALS,28,8,7481,Enemy Mine (1985)
ALS,28,9,61167,Henry Poole is Here (2008)
ALS,28,10,60389,Battle for Haditha (2007)
ALS,29,1,170355,Mulholland Dr. (1999)
ALS,29,2,68945,Neon Genesis Evangelion: Death & Rebirth (Shin seiki Evangelion Gekijô-ban: Shito shinsei) (1997)
ALS,29,3,3379,On the Beach (1959)
ALS,29,4,3030,Yojimbo (1961)
ALS,29,5,27156,"Neon Genesis Evangelion: The End of Evangelion (Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni) (1997)"
ALS,29,6,6818,Come and See (Idi i smotri) (1985)
ALS,29,7,7748,Pierrot le fou (1965)
ALS,29,8,8477,"Jetée, La (1962)"
ALS,29,9,1201,"Good, the Bad and the Ugly, The (Buono, il brutto, il cattivo, Il) (1966)"
ALS,29,10,27611,Battlestar Galactica (2003)
ALS,30,1,106642,"Day of the Doctor, The (2013)"
ALS,30,2,87234,Submarine (2010)
ALS,30,3,58559,"Dark Knight, The (2008)"
ALS,30,4,93988,North & South (2004)
ALS,30,5,98491,Paperman (2012)
ALS,30,6,65188,Dear Zachary: A Letter to a Son About His Father (2008)
ALS,30,7,3030,Yojimbo (1961)
ALS,30,8,34405,Serenity (2005)
ALS,30,9,3022,"General, The (1926)"
ALS,30,10,152970,Hunt for the Wilderpeople (2016)
ALS,31,1,167746,The Lego Batman Movie (2017)
ALS,31,2,932,"Affair to Remember, An (1957)"
ALS,31,3,1363,"Preacher's Wife, The (1996)"
ALS,31,4,1361,Paradise Lost: The Child Murders at Robin Hood Hills (1996)
ALS,31,5,7121,Adam's Rib (1949)
ALS,31,6,1939,"Best Years of Our Lives, The (1946)"
ALS,31,7,93988,North & South (2004)
ALS,31,8,3925,Stranger Than Paradise (1984)
ALS,31,9,65188,Dear Zachary: A Letter to a Son About His Father (2008)
ALS,31,10,122926,Untitled Spider-Man Reboot (2017)
ALS,32,1,177593,"Three Billboards Outside Ebbing, Missouri (2017)"
ALS,32,2,1104,"Streetcar Named Desire, A (1951)"
ALS,32,3,272,"Madness of King George, The (1994)"
ALS,32,4,2843,"Black Cat, White Cat (Crna macka, beli macor) (1998)"
ALS,32,5,898,"Philadelphia Story, The (1940)"
ALS,32,6,3451,Guess Who's Coming to Dinner (1967)
ALS,32,7,905,It Happened One Night (1934)
ALS,32,8,912,Casablanca (1942)
ALS,32,9,260,Star Wars: Episode IV - A New Hope (1977)
ALS,32,10,170355,Mulholland Dr. (1999)
ALS,33,1,1545,Ponette (1996)
ALS,33,2,2943,Indochine (1992)
ALS,33,3,6818,Come and See (Idi i smotri) (1985)
ALS,33,4,2357,Central Station (Central do Brasil) (1998)
ALS,33,5,1446,Kolya (Kolja) (1996)
ALS,33,6,994,Big Night (1996)
ALS,33,7,898,"Philadelphia Story, The (1940)"
ALS,33,8,177593,"Three Billboards Outside Ebbing, Missouri (2017)"
ALS,33,9,446,Farewell My Concubine (Ba wang bie ji) (1993)
ALS,33,10,1104,"Streetcar Named Desire, A (1951)"
ALS,34,1,1223,"Grand Day Out with Wallace and Gromit, A (1989)"
ALS,34,2,164179,Arrival (2016)
ALS,34,3,26606,"Chinese Ghost Story, A (Sinnui yauwan) (1987)"
ALS,34,4,3030,Yojimbo (1961)
ALS,34,5,27193,Taxi 2 (2000)
ALS,34,6,106642,"Day of the Doctor, The (2013)"
ALS,34,7,51255,Hot Fuzz (2007)
ALS,34,8,122926,Untitled Spider-Man Reboot (2017)
ALS,34,9,31878,Kung Fu Hustle (Gong fu) (2004)
ALS,34,10,7121,Adam's Rib (1949)
ALS,35,1,177593,"Three Billboards Outside Ebbing, Missouri (2017)"
ALS,35,2,318,"Shawshank Redemption, The (1994)"
ALS,35,3,3030,Yojimbo (1961)
ALS,35,4,527,Schindler's List (1993)
ALS,35,5,3022,"General, The (1926)"
ALS,35,6,912,Casablanca (1942)
ALS,35,7,92259,Intouchables (2011)
ALS,35,8,1287,Ben-Hur (1959)
ALS,35,9,6016,City of God (Cidade de Deus) (2002)
ALS,35,10,1262,"Great Escape, The (1963)"
ALS,36,1,1617,L.A. Confidential (1997)
ALS,36,2,58998,Forgetting Sarah Marshall (2008)
ALS,36,3,5312,Murder by Numbers (2002)
ALS,36,4,2359,Waking Ned Devine (a.k.a. Waking Ned) (1998)
ALS,36,5,1262,"Great Escape, The (1963)"
ALS,36,6,3897,Almost Famous (2000)
ALS,36,7,7669,Pride and Prejudice (1995)
ALS,36,8,6711,Lost in Translation (2003)
ALS,36,9,3030,Yojimbo (1961)
ALS,36,10,170355,Mulholland Dr. (1999)
ALS,37,1,3030,Yojimbo (1961)
ALS,37,2,86781,Incendies (2010)
ALS,37,3,109487,Interstellar (2014)
ALS,37,4,5915,Victory (a.k.a. Escape to Victory) (1981)
ALS,37,5,44761,Brick (2005)
ALS,37,6,54997,3:10 to Yuma (2007)
ALS,37,7,117531,Watermark (2014)
ALS,37,8,86237,Connections (1978)
ALS,37,9,84273,Zeitgeist: Moving Forward (2011)
ALS,37,10,74226,"Dream of Light (a.k.a. Quince Tree Sun, The) (Sol del membrillo, El) (1992)"
ALS,38,1,720,Wallace & Gromit: The Best of Aardman Animation (1996)
ALS,38,2,527,Schindler's List (1993)
ALS,38,3,318,"Shawshank Redemption, The (1994)"
ALS,38,4,319,Shallow Grave (1994)
ALS,38,5,1287,Ben-Hur (1959)
ALS,38,6,1204,Lawrence of Arabia (1962)
ALS,38,7,177593,"Three Billboards Outside Ebbing, Missouri (2017)"
ALS,38,8,260,Star Wars: Episode IV - A New Hope (1977)
ALS,38,9,4406,"Man Who Shot Liberty Valance, The (1962)"
ALS,38,10,3494,True Grit (1969)
ALS,39,1,1200,Aliens (1986)
ALS,39,2,31364,Memories of Murder (Salinui chueok) (2003)
ALS,39,3,2342,Hard Core Logo (1996)
ALS,39,4,296,Pulp Fiction (1994)
ALS,39,5,1090,Platoon (1986)
ALS,39,6,750,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964)
ALS,39,7,50,"Usual Suspects, The (1995)"
ALS,39,8,1248,Touch of Evil (1958)
ALS,39,9,665,Underground (1995)
ALS,39,10,27156,"Neon Genesis Evangelion: The End of Evangelion (Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni) (1997)"
ALS,40,1,27611,Battlestar Galactica (2003)
ALS,40,2,1204,Lawrence of Arabia (1962)
ALS,40,3,5902,Adaptation (2002)
ALS,40,4,931,Spellbound (1945)
ALS,40,5,3083,All About My Mother (Todo sobre mi madre) (1999)
ALS,40,6,2600,eXistenZ (1999)
ALS,40,7,7096,Rivers and Tides (2001)
ALS,40,8,1411,Hamlet (1996)
ALS,40,9,1104,"Streetcar Named Desire, A (1951)"
ALS,40,10,593,"Silence of the Lambs, The (1991)"
ALS,41,1,89904,The Artist (2011)
ALS,41,2,177593,"Three Billboards Outside Ebbing, Missouri (2017)"
ALS,41,3,2324,Life Is Beautiful (La Vita è bella) (1997)
ALS,41,4,945,Top Hat (1935)
ALS,41,5,6460,"Trial, The (Procès, Le) (1962)"
ALS,41,6,86781,Incendies (2010)
ALS,41,7,54997,3:10 to Yuma (2007)
ALS,41,8,152970,Hunt for the Wilderpeople (2016)
ALS,41,9,118900,Wild (2014)
ALS,41,10,71033,"Secret in Their Eyes, The (El secreto de sus ojos) (2009)"
ALS,42,1,3502,My Life (1993)
ALS,42,2,16,Casino (1995)
ALS,42,3,177593,"Three Billboards Outside Ebbing, Missouri (2017)"
ALS,42,4,105504,Captain Phillips (2013)
ALS,42,5,5915,Victory (a.k.a. Escape to Victory) (1981)
ALS,42,6,550,Threesome (1994)
ALS,42,7,2329,American History X (1998)
ALS,42,8,80906,Inside Job (2010)
ALS,42,9,1245,Miller's Crossing (1990)
ALS,42,10,117531,Watermark (2014)
ALS,43,1,6732,"Hello, Dolly! (1969)"
ALS,43,2,117531,Watermark (2014)
ALS,43,3,86237,Connections (1978)
ALS,43,4,84273,Zeitgeist: Moving Forward (2011)
ALS,43,5,74226,"Dream of Light (a.k.a. Quince Tree Sun, The) (Sol del membrillo, El) (1992)"
ALS,43,6,7071,"Woman Under the Influence, A (1974)"
ALS,43,7,4708,Marat/Sade (1966)
ALS,43,8,167746,The Lego Batman Movie (2017)
ALS,43,9,37384,Waiting... (2005)
ALS,43,10,6942,Love Actually (2003)
ALS,44,1,260,Star Wars: Episode IV - A New Hope (1977)
ALS,44,2,3925,Stranger Than Paradise (1984)
ALS,44,3,1196,Star Wars: Episode V - The Empire Strikes Back (1980)
ALS,44,4,1429,First Strike (Police Story 4: First Strike) (Ging chaat goo si 4: Ji gaan daan yam mo) (1996)
ALS,44,5,170355,Mulholland Dr. (1999)
ALS,44,6,68945,Neon Genesis Evangelion: Death & Rebirth (Shin seiki Evangelion Gekijô-ban: Shito shinsei) (1997)
ALS,44,7,3379,On the Beach (1959)
ALS,44,8,1136,Monty Python and the Holy Grail (1975)
ALS,44,9,737,Barb Wire (1996)
ALS,44,10,2467,"Name of the Rose, The (Name der Rose, Der) (1986)"
ALS,45,1,177593,"Three Billboards Outside Ebbing, Missouri (2017)"
ALS,45,2,3030,Yojimbo (1961)
ALS,45,3,4846,Iron Monkey (Siu nin Wong Fei-hung ji: Tit Ma Lau) (1993)
ALS,45,4,318,"Shawshank Redemption, The (1994)"
ALS,45,5,2771,Brokedown Palace (1999)
ALS,45,6,3972,"Legend of Drunken Master, The (Jui kuen II) (1994)"
ALS,45,7,134109,Radio Day (2008)
ALS,45,8,131237,What Men Talk About (2010)
ALS,45,9,130978,Love and Pigeons (1985)
ALS,45,10,109633,"Garden of Words, The (Koto no ha no niwa) (2013)"
ALS,46,1,8827,"Bill Cosby, Himself (1983)"
ALS,46,2,65188,Dear Zachary: A Letter to a Son About His Father (2008)
ALS,46,3,356,Forrest Gump (1994)
ALS,46,4,3925,Stranger Than Paradise (1984)
ALS,46,5,167746,The Lego Batman Movie (2017)
ALS,46,6,177593,"Three Billboards Outside Ebbing, Missouri (2017)"
ALS,46,7,3451,Guess Who's Coming to Dinner (1967)
ALS,46,8,7121,Adam's Rib (1949)
ALS,46,9,1066,Shall We Dance (1937)
ALS,46,10,954,Mr. Smith Goes to Washington (1939)
ALS,47,1,112804,I Origins (2014)
ALS,47,2,51931,Reign Over Me (2007)
ALS,47,3,47423,Half Nelson (2006)
ALS,47,4,391,Jason's Lyric (1994)
ALS,47,5,96567,"Words, The (2012)"
ALS,47,6,69712,My Sister's Keeper (2009)
ALS,47,7,140715,Straight Outta Compton (2015)
ALS,47,8,3147,"Green Mile, The (1999)"
ALS,47,9,356,Forrest Gump (1994)
ALS,47,10,84152,Limitless (2011)
ALS,48,1,3925,Stranger Than Paradise (1984)
ALS,48,2,117531,Watermark (2014)
ALS,48,3,86237,Connections (1978)
ALS,48,4,84273,Zeitgeist: Moving Forward (2011)
