user_label,real_userId,method,rank,movieId,title
FICTIF_U3,474,Content-TFIDF,5,1175,Delicatessen (1991)
FICTIF_U3,474,Content-TFIDF,6,1457,Fools Rush In (1997)
FICTIF_U3,474,Content-TFIDF,7,1542,Brassed Off (1996)
FICTIF_U3,474,Content-TFIDF,8,32009,Tyler Perry's Diary of a Mad Black Woman (2005)
FICTIF_U3,474,Content-TFIDF,9,8948,Alfie (2004)
FICTIF_U3,474,Content-TFIDF,10,25795,Dinner at Eight (1933)
FICTIF_U4,448,Content-TFIDF,1,55116,"Hunting Party, The (2007)"
FICTIF_U4,448,Content-TFIDF,2,4956,"Stunt Man, The (1980)"
FICTIF_U4,448,Content-TFIDF,3,5628,Wasabi (2001)
FICTIF_U4,448,Content-TFIDF,4,70728,Bronson (2009)
FICTIF_U4,448,Content-TFIDF,5,59947,"Protector, The (1985)"
FICTIF_U4,448,Content-TFIDF,6,6990,The Great Train Robbery (1978)
FICTIF_U4,448,Content-TFIDF,7,5657,Flashback (1990)
FICTIF_U4,448,Content-TFIDF,8,4818,Extreme Days (2001)
FICTIF_U4,448,Content-TFIDF,9,33672,Lords of Dogtown (2005)
FICTIF_U4,448,Content-TFIDF,10,27695,Nicotina (2003)
FICTIF_U5,274,Content-TFIDF,1,51545,Pusher III: I'm the Angel of Death (2005)
FICTIF_U5,274,Content-TFIDF,2,55116,"Hunting Party, The (2007)"
FICTIF_U5,274,Content-TFIDF,3,5027,Another 48 Hrs. (1990)
FICTIF_U5,274,Content-TFIDF,4,5628,Wasabi (2001)
FICTIF_U5,274,Content-TFIDF,5,7007,"Last Boy Scout, The (1991)"
FICTIF_U5,274,Content-TFIDF,6,1432,Metro (1997)
FICTIF_U5,274,Content-TFIDF,7,59947,"Protector, The (1985)"
FICTIF_U5,274,Content-TFIDF,8,70728,Bronson (2009)
FICTIF_U5,274,Content-TFIDF,9,4956,"Stunt Man, The (1980)"
FICTIF_U5,274,Content-TFIDF,10,80219,Machete (2010)
FICTIF_U1,414,UserKNN,1,1177,Enchanted April (1992)
FICTIF_U1,414,UserKNN,2,3549,Guys and Dolls (1955)
FICTIF_U1,414,UserKNN,3,5034,"Truly, Madly, Deeply (1991)"
FICTIF_U1,414,UserKNN,4,4495,Crossing Delancey (1988)
FICTIF_U1,414,UserKNN,5,7121,Adam's Rib (1949)
FICTIF_U1,414,UserKNN,6,6201,Lady Jane (1986)
FICTIF_U1,414,UserKNN,7,8235,Safety Last! (1923)
FICTIF_U1,414,UserKNN,8,3925,Stranger Than Paradise (1984)
FICTIF_U1,414,UserKNN,9,2843,"Black Cat, White Cat (Crna macka, beli macor) (1998)"
FICTIF_U1,414,UserKNN,10,6192,Open Hearts (Elsker dig for evigt) (2002)
FICTIF_U2,599,UserKNN,1,3925,Stranger Than Paradise (1984)
FICTIF_U2,599,UserKNN,2,417,Barcelona (1994)
FICTIF_U2,599,UserKNN,3,1277,Cyrano de Bergerac (1990)
FICTIF_U2,599,UserKNN,4,290,Once Were Warriors (1994)
FICTIF_U2,599,UserKNN,5,94,Beautiful Girls (1996)
FICTIF_U2,599,UserKNN,6,4117,Hope and Glory (1987)
FICTIF_U2,599,UserKNN,7,3951,Two Family House (2000)
FICTIF_U2,599,UserKNN,8,5075,Waydowntown (2000)
FICTIF_U2,599,UserKNN,9,5292,Slap Shot (1977)
FICTIF_U2,599,UserKNN,10,5485,Tadpole (2002)
FICTIF_U3,474,UserKNN,1,54001,Harry Potter and the Order of the Phoenix (2007)
FICTIF_U3,474,UserKNN,2,88125,Harry Potter and the Deathly Hallows: Part 2 (2011)
FICTIF_U3,474,UserKNN,3,290,Once Were Warriors (1994)
FICTIF_U3,474,UserKNN,4,94,Beautiful Girls (1996)
FICTIF_U3,474,UserKNN,5,4117,Hope and Glory (1987)
FICTIF_U3,474,UserKNN,6,3951,Two Family House (2000)
FICTIF_U3,474,UserKNN,7,5075,Waydowntown (2000)
FICTIF_U3,474,UserKNN,8,5292,Slap Shot (1977)
FICTIF_U3,474,UserKNN,9,5485,Tadpole (2002)
FICTIF_U3,474,UserKNN,10,5137,Scratch (2001)
FICTIF_U4,448,UserKNN,1,1217,Ran (1985)
FICTIF_U4,448,UserKNN,2,3429,Creature Comforts (1989)
FICTIF_U4,448,UserKNN,3,951,His Girl Friday (1940)
FICTIF_U4,448,UserKNN,4,3606,On the Town (1949)
FICTIF_U4,448,UserKNN,5,417,Barcelona (1994)
FICTIF_U4,448,UserKNN,6,1277,Cyrano de Bergerac (1990)
FICTIF_U4,448,UserKNN,7,290,Once Were Warriors (1994)
FICTIF_U4,448,UserKNN,8,3296,To Sir with Love (1967)
FICTIF_U4,448,UserKNN,9,2261,One Crazy Summer (1986)
FICTIF_U4,448,UserKNN,10,3385,Volunteers (1985)
FICTIF_U5,274,UserKNN,1,5971,My Neighbor Totoro (Tonari no Totoro) (1988)
FICTIF_U5,274,UserKNN,2,3429,Creature Comforts (1989)
FICTIF_U5,274,UserKNN,3,1217,Ran (1985)
FICTIF_U5,274,UserKNN,4,122904,Deadpool (2016)
FICTIF_U5,274,UserKNN,5,134853,Inside Out (2015)
FICTIF_U5,274,UserKNN,6,119145,Kingsman: The Secret Service (2015)
FICTIF_U5,274,UserKNN,7,82744,Faster (2010)
FICTIF_U5,274,UserKNN,8,147376,Doctor Who: A Christmas Carol (2010)
FICTIF_U5,274,UserKNN,9,102084,Justice League: Doom (2012) 
FICTIF_U5,274,UserKNN,10,95149,Superman/Batman: Public Enemies (2009)
FICTIF_U1,414,Hybrid-Weighted,1,1177,Enchanted April (1992)
FICTIF_U1,414,Hybrid-Weighted,2,3549,Guys and Dolls (1955)
FICTIF_U1,414,Hybrid-Weighted,3,5034,"Truly, Madly, Deeply (1991)"
FICTIF_U1,414,Hybrid-Weighted,4,4495,Crossing Delancey (1988)
FICTIF_U1,414,Hybrid-Weighted,5,7121,Adam's Rib (1949)
FICTIF_U1,414,Hybrid-Weighted,6,6201,Lady Jane (1986)
FICTIF_U1,414,Hybrid-Weighted,7,8235,Safety Last! (1923)
FICTIF_U1,414,Hybrid-Weighted,8,3925,Stranger Than Paradise (1984)
FICTIF_U1,414,Hybrid-Weighted,9,2843,"Black Cat, White Cat (Crna macka, beli macor) (1998)"
FICTIF_U1,414,Hybrid-Weighted,10,6192,Open Hearts (Elsker dig for evigt) (2002)
FICTIF_U2,599,Hybrid-Weighted,1,3925,Stranger Than Paradise (1984)
FICTIF_U2,599,Hybrid-Weighted,2,417,Barcelona (1994)
FICTIF_U2,599,Hybrid-Weighted,3,1277,Cyrano de Bergerac (1990)
FICTIF_U2,599,Hybrid-Weighted,4,290,Once Were Warriors (1994)
FICTIF_U2,599,Hybrid-Weighted,5,94,Beautiful Girls (1996)
FICTIF_U2,599,Hybrid-Weighted,6,4117,Hope and Glory (1987)
FICTIF_U2,599,Hybrid-Weighted,7,3951,Two Family House (2000)
FICTIF_U2,599,Hybrid-Weighted,8,5075,Waydowntown (2000)
FICTIF_U2,599,Hybrid-Weighted,9,5292,Slap Shot (1977)
FICTIF_U2,599,Hybrid-Weighted,10,5485,Tadpole (2002)
FICTIF_U3,474,Hybrid-Weighted,1,54001,Harry Potter and the Order of the Phoenix (2007)
FICTIF_U3,474,Hybrid-Weighted,2,88125,Harry Potter and the Deathly Hallows: Part 2 (2011)
FICTIF_U3,474,Hybrid-Weighted,3,290,Once Were Warriors (1994)
FICTIF_U3,474,Hybrid-Weighted,4,94,Beautiful Girls (1996)
FICTIF_U3,474,Hybrid-Weighted,5,4117,Hope and Glory (1987)
FICTIF_U3,474,Hybrid-Weighted,6,3951,Two Family House (2000)
FICTIF_U3,474,Hybrid-Weighted,7,5075,Waydowntown (2000)
FICTIF_U3,474,Hybrid-Weighted,8,5292,Slap Shot (1977)
FICTIF_U3,474,Hybrid-Weighted,9,5485,Tadpole (2002)
FICTIF_U3,474,Hybrid-Weighted,10,5137,Scratch (2001)
FICTIF_U4,448,Hybrid-Weighted,1,1217,Ran (1985)
FICTIF_U4,448,Hybrid-Weighted,2,3429,Creature Comforts (1989)
FICTIF_U4,448,Hybrid-Weighted,3,951,His Girl Friday (1940)
FICTIF_U4,448,Hybrid-Weighted,4,3606,On the Town (1949)
FICTIF_U4,448,Hybrid-Weighted,5,417,Barcelona (1994)
FICTIF_U4,448,Hybrid-Weighted,6,1277,Cyrano de Bergerac (1990)
FICTIF_U4,448,Hybrid-Weighted,7,290,Once Were Warriors (1994)
FICTIF_U4,448,Hybrid-Weighted,8,3296,To Sir with Love (1967)
FICTIF_U4,448,Hybrid-Weighted,9,2261,One Crazy Summer (1986)
FICTIF_U4,448,Hybrid-Weighted,10,3385,Volunteers (1985)
FICTIF_U5,274,Hybrid-Weighted,1,5971,My Neighbor Totoro (Tonari no Totoro) (1988)
FICTIF_U5,274,Hybrid-Weighted,2,3429,Creature Comforts (1989)
FICTIF_U5,274,Hybrid-Weighted,3,1217,Ran (1985)
FICTIF_U5,274,Hybrid-Weighted,4,122904,Deadpool (2016)
FICTIF_U5,274,Hybrid-Weighted,5,134853,Inside Out (2015)
FICTIF_U5,274,Hybrid-Weighted,6,119145,Kingsman: The Secret Service (2015)
FICTIF_U5,274,Hybrid-Weighted,7,82744,Faster (2010)
FICTIF_U5,274,Hybrid-Weighted,8,147376,Doctor Who: A Christmas Carol (2010)
FICTIF_U5,274,Hybrid-Weighted,9,102084,Justice League: Doom (2012) 
FICTIF_U5,274,Hybrid-Weighted,10,95149,Superman/Batman: Public Enemies (2009)
